"x" "y" "grp" "srtm_56_04" "ruggedness" "Occ_1200" "row_id"
-160790.325768971 4807565.24440289 10127 1528.0546875 7.54772059122721 0.302657875 1
-158790.325768971 4807565.24440289 9977 1540.6640625 14.4459784030914 0.302657875 2
-156790.325768971 4807565.24440289 9979 1532.65234375 10.3292654752731 0.302657875 3
-154790.325768971 4807565.24440289 9981 1540.78125 14.6828708648682 0.302657875 4
-132790.325768971 4807565.24440289 9848 1453.90234375 6.06556963920593 0.639986103 5
-130790.325768971 4807565.24440289 9850 1469.3203125 5.83066892623901 0.639986103 6
-128790.325768971 4807565.24440289 9852 1475.5625 4.60526978969574 0.639986103 7
-126790.325768971 4807565.24440289 9687 1492.20703125 5.84055387973785 0.639986103 8
-124790.325768971 4807565.24440289 9689 1497.453125 4.79118299484253 0.639986103 9
-122790.325768971 4807565.24440289 9691 1511.12890625 5.80250763893127 0.639986103 10
-120790.325768971 4807565.24440289 9693 1528.25 5.77210736274719 0.639986103 11
-118790.325768971 4807565.24440289 9695 1547.1171875 5.93393874168396 0.639986103 12
-116790.325768971 4807565.24440289 9697 1539.30078125 6.39782476425171 0.639986103 13
-162790.325768971 4809565.24440289 9820 1583.3515625 7.31901264190674 0.302657875 14
-160790.325768971 4809565.24440289 9822 1577.5859375 9.01784288883209 0.302657875 15
-158790.325768971 4809565.24440289 9824 1587.45703125 12.1378284692764 0.302657875 16
-156790.325768971 4809565.24440289 9826 1577.296875 9.75181341171265 0.302657875 17
-154790.325768971 4809565.24440289 9828 1574.984375 14.2940571308136 0.302657875 18
-152790.325768971 4809565.24440289 9829 1599.91796875 17.3044323921204 0.302657875 19
-132790.325768971 4809565.24440289 9682 1478.79296875 7.37357652187347 0.639986103 20
-130790.325768971 4809565.24440289 9516 1520.75 11.659688949585 0.639986103 21
-128790.325768971 4809565.24440289 9517 1539.6171875 10.6043974161148 0.639986103 22
-126790.325768971 4809565.24440289 9519 1494.45703125 6.35571265220642 0.639986103 23
-124790.325768971 4809565.24440289 9521 1494.93359375 5.21846520900726 0.639986103 24
-122790.325768971 4809565.24440289 9523 1513.59765625 6.15014612674713 0.639986103 25
-120790.325768971 4809565.24440289 9525 1528.6953125 6.10988807678223 0.639986103 26
-118790.325768971 4809565.24440289 9527 1534.87109375 5.53046226501465 0.639986103 27
-116790.325768971 4809565.24440289 9528 1532.8359375 6.23477876186371 0.639986103 28
-114790.325768971 4809565.24440289 9375 1517.7265625 7.27357244491577 0.639986103 29
-164790.325768971 4811565.24440289 9652 1609.671875 10.9322810173035 0.302657875 30
-162790.325768971 4811565.24440289 9654 1573.21875 5.17165803909302 0.302657875 31
-160790.325768971 4811565.24440289 9656 1573.87890625 5.77861285209656 0.302657875 32
-158790.325768971 4811565.24440289 9658 1589.9453125 7.15302717685699 0.302657875 33
-156790.325768971 4811565.24440289 9660 1572.125 6.0146142244339 0.302657875 34
-154790.325768971 4811565.24440289 9661 1580.21875 8.10424065589905 0.302657875 35
-152790.325768971 4811565.24440289 9495 1579.38671875 6.48239016532898 0.302657875 36
-132790.325768971 4811565.24440289 9359 1464.1328125 4.3446701169014 0.639986103 37
-130790.325768971 4811565.24440289 9360 1474.85546875 5.27766567468643 0.639986103 38
-128790.325768971 4811565.24440289 9362 1496.37109375 8.01239085197449 0.639986103 39
-126790.325768971 4811565.24440289 9364 1491.328125 6.57453942298889 0.639986103 40
-124790.325768971 4811565.24440289 9366 1497.76171875 6.42759919166565 0.639986103 41
-122790.325768971 4811565.24440289 9368 1512.81640625 6.76225614547729 0.639986103 42
-120790.325768971 4811565.24440289 9215 1513.5859375 7.05401253700256 0.639986103 43
-118790.325768971 4811565.24440289 9216 1524.328125 7.29522883892059 0.639986103 44
-116790.325768971 4811565.24440289 9218 1536.99609375 8.53697001934052 0.639986103 45
-114790.325768971 4811565.24440289 9220 1504.76171875 6.86407876014709 0.639986103 46
-112790.325768971 4811565.24440289 9224 1498.375 6.33094918727875 0.5370253 47
-164790.325768971 4813565.24440289 9484 1596.578125 8.82112073898315 0.302657875 48
-162790.325768971 4813565.24440289 9486 1570.9765625 4.95055437088013 0.302657875 49
-160790.325768971 4813565.24440289 9488 1573.83203125 5.74982786178589 0.302657875 50
-158790.325768971 4813565.24440289 9335 1578.73046875 5.47307252883911 0.302657875 51
-156790.325768971 4813565.24440289 9336 1566.46875 5.72107326984406 0.302657875 52
-154790.325768971 4813565.24440289 9338 1552.68359375 5.57493627071381 0.302657875 53
-152790.325768971 4813565.24440289 9340 1565.5234375 5.85847020149231 0.302657875 54
-132790.325768971 4813565.24440289 9203 1455.07421875 7.25665199756622 0.639986103 55
-130790.325768971 4813565.24440289 9205 1458.3984375 4.61015838384628 0.639986103 56
-128790.325768971 4813565.24440289 9207 1470.859375 5.03965133428574 0.639986103 57
-126790.325768971 4813565.24440289 9055 1481.3359375 5.26187086105347 0.639986103 58
-124790.325768971 4813565.24440289 9057 1477.0859375 6.5786007642746 0.639986103 59
-122790.325768971 4813565.24440289 9059 1486.640625 8.11918079853058 0.639986103 60
-120790.325768971 4813565.24440289 9060 1500.62890625 8.60908484458923 0.639986103 61
-118790.325768971 4813565.24440289 9062 1517.3125 8.07455265522003 0.639986103 62
-116790.325768971 4813565.24440289 9064 1524.08203125 8.07581555843353 0.639986103 63
-114790.325768971 4813565.24440289 9066 1514.40625 8.27869248390198 0.639986103 64
-112790.325768971 4813565.24440289 9069 1482.67578125 7.07900786399841 0.434064497 65
-164790.325768971 4815565.24440289 9329 1584.640625 4.5556960105896 0.302657875 66
-162790.325768971 4815565.24440289 9176 1572.19921875 4.28972661495209 0.302657875 67
-160790.325768971 4815565.24440289 9178 1581.38671875 6.39426612854004 0.302657875 68
-158790.325768971 4815565.24440289 9179 1589.453125 6.74371981620789 0.302657875 69
-156790.325768971 4815565.24440289 9181 1571.34375 5.99188661575317 0.302657875 70
-154790.325768971 4815565.24440289 9183 1543.5859375 5.62324941158295 0.302657875 71
-152790.325768971 4815565.24440289 9185 1557.65625 7.04435563087463 0.302657875 72
-132790.325768971 4815565.24440289 8895 1468.6328125 19.0284150441488 0.639986103 73
-130790.325768971 4815565.24440289 8897 1475.3125 13.338427066803 0.639986103 74
-128790.325768971 4815565.24440289 8899 1477.5234375 14.5234667460124 0.639986103 75
-126790.325768971 4815565.24440289 8901 1497.890625 15.8585784435272 0.639986103 76
-124790.325768971 4815565.24440289 8903 1482.640625 15.139854033788 0.639986103 77
-122790.325768971 4815565.24440289 8904 1466.33203125 12.119961977005 0.639986103 78
-120790.325768971 4815565.24440289 8906 1480.6875 10.962233543396 0.639986103 79
-118790.325768971 4815565.24440289 8908 1501.01953125 9.63876326878866 0.639986103 80
-116790.325768971 4815565.24440289 8755 1505.70703125 6.16274797916412 0.639986103 81
-114790.325768971 4815565.24440289 8757 1493.25 6.10932326316833 0.639986103 82
-112790.325768971 4815565.24440289 8760 1477.23046875 8.62241041660309 0.434064497 83
-164790.325768971 4817565.24440289 9020 1589.00390625 4.99169373512268 0.302657875 84
-162790.325768971 4817565.24440289 9022 1577.33203125 4.50071495771408 0.302657875 85
-160790.325768971 4817565.24440289 9023 1586.8671875 5.7888445854187 0.302657875 86
-158790.325768971 4817565.24440289 9025 1596.734375 6.46155714988708 0.302657875 87
-156790.325768971 4817565.24440289 9027 1572.25 6.00953996181488 0.302657875 88
-154790.325768971 4817565.24440289 9029 1545.671875 5.96447622776031 0.302657875 89
-132790.325768971 4817565.24440289 8740 1457.3984375 19.9073481559753 0.639986103 90
-130790.325768971 4817565.24440289 8742 1460.20703125 20.4010872840881 0.639986103 91
-128790.325768971 4817565.24440289 8744 1476.46875 26.0025625228882 0.639986103 92
-126790.325768971 4817565.24440289 8746 1534.84765625 33.1587743759155 0.639986103 93
-124790.325768971 4817565.24440289 8747 1525.29296875 37.1803073883057 0.639986103 94
-122790.325768971 4817565.24440289 8749 1463.46875 24.8628079891205 0.639986103 95
-120790.325768971 4817565.24440289 8595 1473.52734375 20.131856918335 0.639986103 96
-118790.325768971 4817565.24440289 8597 1487.11328125 14.2040367126465 0.639986103 97
-116790.325768971 4817565.24440289 8599 1503.98046875 6.59168601036072 0.639986103 98
-114790.325768971 4817565.24440289 8601 1492.8359375 6.89965057373047 0.639986103 99
-112790.325768971 4817565.24440289 8603 1491.78125 7.55811476707458 0.5370253 100
-164790.325768971 4819565.24440289 8866 1592.2734375 4.07512060801188 0.302657875 101
-162790.325768971 4819565.24440289 8867 1586.0078125 4.70377504825592 0.302657875 102
-160790.325768971 4819565.24440289 8869 1590.45703125 6.51507782936096 0.302657875 103
-158790.325768971 4819565.24440289 8716 1623.671875 9.66186618804932 0.302657875 104
-156790.325768971 4819565.24440289 8718 1577.2421875 10.208638548851 0.302657875 105
-154790.325768971 4819565.24440289 8720 1544.02734375 5.07226276397705 0.302657875 106
-132790.325768971 4819565.24440289 8584 1428.21484375 20.8246898651123 0.639986103 107
-130790.325768971 4819565.24440289 8586 1441.72265625 20.9723372459412 0.639986103 108
-128790.325768971 4819565.24440289 8588 1469.328125 21.1630296707153 0.639986103 109
-126790.325768971 4819565.24440289 8423 1464.578125 15.8251962661743 0.639986103 110
-124790.325768971 4819565.24440289 8425 1485.47265625 32.7476420402527 0.639986103 111
-122790.325768971 4819565.24440289 8427 1447.83203125 39.2039079666138 0.639986103 112
-120790.325768971 4819565.24440289 8429 1494.5859375 28.1255416870117 0.639986103 113
-118790.325768971 4819565.24440289 8431 1515.9453125 16.3456196784973 0.639986103 114
-116790.325768971 4819565.24440289 8433 1512.76171875 8.20205795764923 0.639986103 115
-114790.325768971 4819565.24440289 8434 1510.78515625 8.81958591938019 0.639986103 116
-112790.325768971 4819565.24440289 8437 1489.140625 9.49225580692291 0.5370253 117
-164790.325768971 4821565.24440289 8710 1601.3828125 4.58630603551865 0.302657875 118
-162790.325768971 4821565.24440289 8556 1614.0859375 7.31474733352661 0.302657875 119
-160790.325768971 4821565.24440289 8558 1617.35546875 7.12835896015167 0.302657875 120
-158790.325768971 4821565.24440289 8560 1614.57421875 9.65760374069214 0.302657875 121
-156790.325768971 4821565.24440289 8562 1586.58984375 10.9749753475189 0.302657875 122
-154790.325768971 4821565.24440289 8564 1548.80859375 5.14791309833527 0.302657875 123
-152790.325768971 4821565.24440289 8565 1537.6171875 5.73615837097168 0.302657875 124
-132790.325768971 4821565.24440289 8244 1378.73046875 25.458610534668 0.639986103 125
-130790.325768971 4821565.24440289 8246 1391.99609375 25.2479345798492 0.639986103 126
-128790.325768971 4821565.24440289 8247 1412.71875 19.1322617530823 0.639986103 127
